model,partition,optimiser,driver,seed,shared,round,n_clients,disp_rms_coord,disp_mean_l2,disp_max_l2,disp_rel_to_weights,delta_rms,delta_disp_rel,weights_rms,min_pair_l2,krum_idx_flower,krum_idx_ref,krum_sel_agree,krum_score_best,krum_score_margin_rel,gap_krum,relgap_krum,gap_multikrum3,relgap_multikrum3,gap_median,relgap_median,gap_trimmed,relgap_trimmed,noise_fedavg,noise_krum,noise_multikrum3,noise_median,noise_trimmed,train_loss,train_acc,test_loss,test_acc
logreg,iid,sgd,krum,0,0.000000000000e+00,1,16,3.196543581713e-02,8.092965615973e-01,9.526991141767e-01,4.575556505908e-01,6.920328773121e-02,4.619063178224e-01,6.986130709095e-02,9.369388896490e-01,13,13,1,1.483923534443e+01,1.334975339658e-02,1.004412691334e-01,3.931048002616e-01,6.232991272588e-02,2.439454230700e-01,2.124309004533e-02,8.314073230315e-02,1.428121855370e-02,5.589351484189e-02,5.551115123126e-17,2.775557561563e-17,5.551115123126e-17,0.000000000000e+00,1.110223024625e-16,1.626920659643e+00,6.522948539638e-01,1.614573885144e+00,6.880222841226e-01
logreg,iid,sgd,krum,0,0.000000000000e+00,2,16,2.716100470363e-02,6.874071889573e-01,8.470769759152e-01,2.157021743104e-01,5.399561203787e-02,5.030224434641e-01,1.259190121308e-01,7.783237056909e-01,13,13,1,1.075390970721e+01,2.391741626637e-03,7.661635347005e-02,1.585017781316e-01,5.976671071804e-02,1.236437065044e-01,2.266389280426e-02,4.688643019618e-02,1.550295013021e-02,3.207207143948e-02,1.110223024625e-16,5.551115123126e-17,1.110223024625e-16,0.000000000000e+00,1.110223024625e-16,1.216024180697e+00,8.400556328234e-01,1.208657145361e+00,8.635097493036e-01
logreg,iid,sgd,krum,0,0.000000000000e+00,3,16,2.439135769187e-02,6.178407982315e-01,7.247210970138e-01,1.442453609769e-01,4.201983987258e-02,5.804724093627e-01,1.690963059518e-01,7.095605392157e-01,1,1,1,8.327932062531e+00,3.248083280633e-02,1.025416608626e-01,1.572673086036e-01,5.202786009965e-02,7.979470452736e-02,1.881674658763e-02,2.885909071122e-02,1.601715674593e-02,2.456538261351e-02,1.110223024625e-16,5.551115123126e-17,1.110223024625e-16,0.000000000000e+00,1.110223024625e-16,9.472490673646e-01,8.817802503477e-01,9.570520739644e-01,8.969359331476e-01
logreg,iid,sgd,krum,0,0.000000000000e+00,4,16,2.196854704010e-02,5.553434473378e-01,7.249792458082e-01,1.085133217828e-01,3.303684679481e-02,6.649710602390e-01,2.024502308026e-01,6.377029302014e-01,1,1,1,6.591690267985e+00,3.654910088474e-02,8.552779609763e-02,1.105587972137e-01,4.481422577074e-02,5.792978569937e-02,1.859184397762e-02,2.403302788024e-02,1.181325594853e-02,1.527058369838e-02,2.220446049250e-16,1.110223024625e-16,1.110223024625e-16,0.000000000000e+00,1.110223024625e-16,8.002239722828e-01,8.762169680111e-01,8.224423837896e-01,8.774373259053e-01
logreg,iid,sgd,krum,0,0.000000000000e+00,5,16,2.015470659155e-02,5.093315969183e-01,6.472232531985e-01,8.752786852718e-02,2.782821600682e-02,7.242543534450e-01,2.302661647163e-01,5.774316455567e-01,1,1,1,5.181299092664e+00,1.358307540570e-01,6.521576957394e-02,7.516283959218e-02,3.533781940323e-02,4.072773914492e-02,1.829223323964e-02,2.108226586539e-02,1.071000796736e-02,1.234355764166e-02,1.110223024625e-16,1.110223024625e-16,2.220446049250e-16,0.000000000000e+00,2.220446049250e-16,6.892840140366e-01,8.956884561892e-01,7.121684245934e-01,8.997214484680e-01
logreg,iid,sgd,krum,0,0.000000000000e+00,6,16,1.952808984960e-02,4.922695879804e-01,6.490836536415e-01,7.706199652884e-02,2.349219415308e-02,8.312586607427e-01,2.534075254888e-01,5.453899236748e-01,1,1,1,4.577201558429e+00,1.588979230335e-01,5.877018536827e-02,6.254791969201e-02,3.443969529800e-02,3.665347118131e-02,1.718681268468e-02,1.829157714624e-02,9.862906361580e-03,1.049689176864e-02,2.220446049250e-16,1.110223024625e-16,1.110223024625e-16,0.000000000000e+00,2.220446049250e-16,6.198768815792e-01,9.054242002782e-01,6.407930295177e-01,9.080779944290e-01
logreg,iid,sgd,krum,0,0.000000000000e+00,7,16,1.876336224437e-02,4.737701045699e-01,5.953160487481e-01,6.872090898078e-02,2.062614101634e-02,9.096884496958e-01,2.730371661646e-01,5.207103178707e-01,1,1,1,4.324731998709e+00,1.456605825381e-01,5.915642520824e-02,5.947174694768e-02,3.858237167129e-02,3.878802744755e-02,1.524719672890e-02,1.532846892507e-02,8.784655327093e-03,8.831480211937e-03,2.220446049250e-16,1.110223024625e-16,2.220446049250e-16,0.000000000000e+00,2.220446049250e-16,5.715055604060e-01,9.054242002782e-01,5.958798896985e-01,9.080779944290e-01
logreg,iid,sgd,krum,0,0.000000000000e+00,8,16,1.823545626784e-02,4.606632407348e-01,5.978826713935e-01,6.283962544505e-02,1.876338848823e-02,9.718637057097e-01,2.901904035661e-01,5.330290263005e-01,1,1,1,4.277664205762e+00,1.363560135722e-01,6.467399270036e-02,6.211921675423e-02,3.195984408702e-02,3.069735452194e-02,1.737236301623e-02,1.668611351611e-02,7.983450085660e-03,7.668084891794e-03,2.220446049250e-16,1.110223024625e-16,2.220446049250e-16,0.000000000000e+00,2.220446049250e-16,5.423608247708e-01,8.922114047288e-01,5.651310297728e-01,9.052924791086e-01
logreg,iid,sgd,krum,0,0.000000000000e+00,9,16,1.811838920484e-02,4.559011951732e-01,6.061036444672e-01,5.932134041394e-02,1.799051368957e-02,1.007107941300e+00,3.054278456692e-01,4.773928810941e-01,1,1,1,3.745371133814e+00,1.907957870188e-01,5.213118812730e-02,4.814567899568e-02,3.490532481630e-02,3.223675930312e-02,1.400496109361e-02,1.293426038005e-02,8.445618490483e-03,7.799938028840e-03,2.220446049250e-16,1.110223024625e-16,2.220446049250e-16,0.000000000000e+00,2.220446049250e-16,4.994159041303e-01,9.116828929068e-01,5.232381968017e-01,9.136490250696e-01
logreg,iid,sgd,krum,0,0.000000000000e+00,10,16,1.786337527988e-02,4.498014339446e-01,6.042777352441e-01,5.596835378564e-02,1.587371856964e-02,1.125342823833e+00,3.191692103059e-01,4.717830693849e-01,1,1,1,3.745710892752e+00,1.700938919489e-01,5.299569612863e-02,4.738719838161e-02,3.605823307492e-02,3.224221528978e-02,1.486329872672e-02,1.329032613627e-02,8.719607890373e-03,7.796817837962e-03,2.220446049250e-16,1.110223024625e-16,2.220446049250e-16,0.000000000000e+00,2.220446049250e-16,4.767435365752e-01,9.068150208623e-01,5.011720581202e-01,9.247910863510e-01
