lr,u_norm,min_pair_l2,med_pair_l2,sep_ratio,krum_idx_flower,krum_idx_ref,krum_sel_agree,krum_score_best,krum_score_margin_rel,gap_krum,gap_multikrum3,gap_median,gap_trimmed,noise_fedavg,noise_krum,noise_multikrum3,noise_median,noise_trimmed
5.000000000000e-01,1.499643847931e+01,9.898816854593e-02,1.807081423804e-01,6.600778490341e-03,3,3,1,3.000355928452e-01,8.817467426758e-03,1.564470621350e-02,7.394372417784e-03,4.370349116185e-03,2.798177610313e-03,4.440892098501e-16,2.220446049250e-16,2.220446049250e-16,0.000000000000e+00,4.440892098501e-16
2.320794416806e-01,1.498478695151e+01,4.753670674640e-02,9.020399067829e-02,3.172331171622e-03,3,3,1,7.373423921035e-02,1.412126066213e-02,7.786140733369e-03,3.691118737694e-03,1.952563164471e-03,1.426713557494e-03,6.661338147751e-16,2.220446049250e-16,4.440892098501e-16,0.000000000000e+00,4.440892098501e-16
1.077217345016e-01,1.497940178832e+01,2.243561928978e-02,4.330974061281e-02,1.497764704280e-03,3,3,1,1.692802524862e-02,1.543633171102e-02,3.734043598193e-03,1.891814418412e-03,9.383006709274e-04,6.954565024110e-04,4.440892098501e-16,2.220446049250e-16,4.440892098501e-16,0.000000000000e+00,4.440892098501e-16
5.000000000000e-02,1.497690859426e+01,1.049672235985e-02,2.035714125249e-02,7.008604141358e-04,3,3,1,3.757994651543e-03,1.520932436107e-02,1.759752157850e-03,8.941858778476e-04,4.457543387253e-04,3.302509870655e-04,6.661338147751e-16,2.220446049250e-16,4.440892098501e-16,0.000000000000e+00,4.440892098501e-16
2.320794416806e-02,1.497575290472e+01,4.890357606341e-03,9.503612222418e-03,3.265517024389e-04,3,3,1,8.210553937193e-04,1.511776042712e-02,8.225973150646e-04,4.185424128366e-04,2.091315083184e-04,1.549229317541e-04,4.440892098501e-16,2.220446049250e-16,4.440892098501e-16,0.000000000000e+00,4.440892098501e-16
1.077217345016e-02,1.497521683397e+01,2.273859159447e-03,4.423058388828e-03,1.518414848117e-04,3,3,1,1.780483144717e-04,1.507852214391e-02,3.830708413535e-04,1.950270913967e-04,9.755343727424e-05,7.226383124458e-05,4.440892098501e-16,2.220446049250e-16,2.220446049250e-16,0.000000000000e+00,4.440892098501e-16
5.000000000000e-03,1.497496808998e+01,1.056287589116e-03,2.055569198748e-03,7.053688413687e-05,3,3,1,3.847579135576e-05,1.506104086275e-02,1.780768115591e-04,9.068695443371e-05,4.538465610038e-05,3.361867145170e-05,6.661338147751e-16,2.220446049250e-16,4.440892098501e-16,0.000000000000e+00,4.440892098501e-16
2.320794416806e-03,1.497485265026e+01,4.904699473939e-04,9.546647778147e-04,3.275290641242e-05,3,3,1,8.301035786592e-06,1.505308724353e-02,8.271440569257e-05,4.212839091811e-05,2.108820150815e-05,1.562097460731e-05,4.440892098501e-16,2.220446049250e-16,4.440892098501e-16,0.000000000000e+00,4.440892098501e-16
1.077217345016e-03,1.497479907158e+01,2.276958044665e-04,4.432356042365e-04,1.520526608592e-05,3,3,1,1.789573278840e-06,1.504943036061e-02,3.840523050502e-05,1.956186137242e-05,9.793128362690e-06,7.254186898911e-06,6.661338147751e-16,2.220446049250e-16,4.440892098501e-16,0.000000000000e+00,4.440892098501e-16
5.000000000000e-04,1.497477420335e+01,1.056956129391e-04,2.057574910487e-04,7.058244184774e-06,3,3,1,3.856688805080e-07,1.504774052483e-02,1.782884512280e-05,9.081448237969e-06,4.546613183720e-06,3.367865315823e-06,4.440892098501e-16,2.220446049250e-16,4.440892098501e-16,0.000000000000e+00,8.881784197001e-16
