model,partition,optimiser,driver,seed,shared,round,n_clients,disp_rms_coord,disp_mean_l2,disp_max_l2,disp_rel_to_weights,delta_rms,delta_disp_rel,weights_rms,min_pair_l2,krum_idx_flower,krum_idx_ref,krum_sel_agree,krum_score_best,krum_score_margin_rel,gap_krum,relgap_krum,gap_multikrum3,relgap_multikrum3,gap_median,relgap_median,gap_trimmed,relgap_trimmed,noise_fedavg,noise_krum,noise_multikrum3,noise_median,noise_trimmed,train_loss,train_acc,test_loss,test_acc
logreg,iid,fullbatch,fedavg,0,0.000000000000e+00,1,16,1.455149225234e-02,3.657693975174e-01,4.817231377323e-01,5.365260007885e-01,2.532405464815e-02,5.746114693923e-01,2.712169071202e-02,3.436857962177e-01,1,1,1,2.694457793279e+00,4.543826947659e-02,5.457411663446e-02,5.597708417206e-01,2.875817907386e-02,2.949748177209e-01,1.136564966699e-02,1.165783282102e-01,6.712964773726e-03,6.885538738077e-02,2.775557561563e-17,1.387778780781e-17,1.387778780781e-17,0.000000000000e+00,1.387778780781e-17,2.026780515715e+00,8.456189151599e-01,2.035499974494e+00,8.272980501393e-01
logreg,iid,fullbatch,fedavg,0,0.000000000000e+00,2,16,1.391035312904e-02,3.496950933173e-01,4.644244532082e-01,2.811587302007e-01,2.323264685236e-02,5.987416422002e-01,4.947508874831e-02,3.309352596362e-01,1,1,1,2.461468181795e+00,5.281957256590e-02,5.208223538706e-02,2.852907387871e-01,2.830446237396e-02,1.550432872481e-01,1.004076268094e-02,5.500026221886e-02,6.760059420081e-03,3.702956165124e-02,5.551115123126e-17,2.775557561563e-17,2.775557561563e-17,0.000000000000e+00,2.775557561563e-17,1.793722339109e+00,8.748261474270e-01,1.806607409834e+00,8.440111420613e-01
logreg,iid,fullbatch,fedavg,0,0.000000000000e+00,3,16,1.327784818490e-02,3.337739547166e-01,4.473175298187e-01,1.885412234984e-01,2.126986923614e-02,6.242562207358e-01,7.042411170630e-02,3.175975667765e-01,1,1,1,2.236438198781e+00,5.836229565210e-02,4.922216911896e-02,1.892100905601e-01,2.331215084200e-02,8.961194215774e-02,9.644387857246e-03,3.707304112211e-02,6.671272862387e-03,2.564438270473e-02,5.551115123126e-17,2.775557561563e-17,5.551115123126e-17,0.000000000000e+00,5.551115123126e-17,1.598222954485e+00,8.831710709318e-01,1.613584765112e+00,8.662952646240e-01
logreg,iid,fullbatch,fedavg,0,0.000000000000e+00,4,16,1.268129583989e-02,3.187270085622e-01,4.309923394785e-01,1.414311259219e-01,1.942316323488e-02,6.528954983560e-01,8.966410864105e-02,3.044816157547e-01,1,1,1,2.029750360487e+00,6.453226676761e-02,4.618795540722e-02,1.398241444574e-01,2.247731976062e-02,6.804527235542e-02,9.257248021976e-03,2.802433606967e-02,6.529995006772e-03,1.976816157119e-02,1.110223024625e-16,2.775557561563e-17,5.551115123126e-17,0.000000000000e+00,5.551115123126e-17,1.435071739991e+00,8.873435326843e-01,1.451948411054e+00,8.718662952646e-01
logreg,iid,fullbatch,fedavg,0,0.000000000000e+00,5,16,1.213637999628e-02,3.049613706638e-01,4.159330421953e-01,1.131537275851e-01,1.772755097376e-02,6.846055619437e-01,1.072556799965e-01,2.922021121352e-01,1,1,1,1.846512833929e+00,7.193595463323e-02,4.315716385386e-02,1.096644530204e-01,2.163692404284e-02,5.498047666519e-02,8.987227498824e-03,2.283698231808e-02,6.374411546354e-03,1.619768986501e-02,1.110223024625e-16,5.551115123126e-17,5.551115123126e-17,0.000000000000e+00,1.110223024625e-16,1.299064526544e+00,8.942976356050e-01,1.316780169021e+00,8.885793871866e-01
logreg,iid,fullbatch,fedavg,0,0.000000000000e+00,6,16,1.164895268915e-02,2.926333031452e-01,4.023565355540e-01,9.444847140929e-02,1.619995340655e-02,7.190732218060e-01,1.233365931215e-01,2.810982500048e-01,1,1,1,1.685463582964e+00,8.170792040129e-02,4.026381091843e-02,8.939220797932e-02,2.082153323796e-02,4.622718980641e-02,8.771713880244e-03,1.947463127885e-02,6.214841609676e-03,1.379795903712e-02,1.110223024625e-16,5.551115123126e-17,1.110223024625e-16,0.000000000000e+00,1.110223024625e-16,1.185410081306e+00,8.956884561892e-01,1.203480609885e+00,8.969359331476e-01
logreg,iid,fullbatch,fedavg,0,0.000000000000e+00,7,16,1.121809747272e-02,2.817256279380e-01,3.902780041850e-01,8.125300848209e-02,1.484164107461e-02,7.558529017328e-01,1.380637798192e-01,2.712878018771e-01,1,1,1,1.546835132121e+00,9.287533505379e-02,3.758595382974e-02,7.491862604119e-02,2.005114404052e-02,3.996716882256e-02,8.353005464473e-03,1.664972227518e-02,6.057798785560e-03,1.207477569690e-02,1.665334536938e-16,5.551115123126e-17,1.110223024625e-16,0.000000000000e+00,1.110223024625e-16,1.089954915626e+00,8.998609179416e-01,1.108035237616e+00,9.052924791086e-01
logreg,iid,fullbatch,fedavg,0,0.000000000000e+00,8,16,1.083919612828e-02,2.721253511700e-01,3.795965184394e-01,7.150256183028e-02,1.364332093345e-02,7.944690432154e-01,1.515917171473e-01,2.627469309326e-01,1,1,1,1.428986487409e+00,1.045618256431e-01,3.515526101733e-02,6.414374438067e-02,1.933699727558e-02,3.528198552480e-02,7.901938291798e-03,1.441775413504e-02,5.906891990232e-03,1.077762357443e-02,1.665334536938e-16,5.551115123126e-17,1.110223024625e-16,0.000000000000e+00,1.110223024625e-16,1.009243448483e+00,9.019471488178e-01,1.027090574856e+00,9.052924791086e-01
logreg,iid,fullbatch,fedavg,0,0.000000000000e+00,9,16,1.050616024936e-02,2.636806956578e-01,3.701589788382e-01,6.403736454265e-02,1.259005018865e-02,8.344812047559e-01,1.640629704923e-01,2.553752462106e-01,1,1,1,1.328839999733e+00,1.083696008556e-01,3.297329703484e-02,5.586715849971e-02,1.868373769451e-02,3.165614084765e-02,7.479824429199e-03,1.267318025536e-02,5.763772209099e-03,9.765646887593e-03,1.665334536938e-16,5.551115123126e-17,1.110223024625e-16,0.000000000000e+00,1.110223024625e-16,9.404746054633e-01,9.054242002782e-01,9.579208862125e-01,9.052924791086e-01
logreg,iid,fullbatch,fedavg,0,0.000000000000e+00,10,16,1.021274452991e-02,2.562349376010e-01,3.617995537590e-01,5.815761116092e-02,1.166486335402e-02,8.755134303734e-01,1.756046083401e-01,2.490397825420e-01,1,1,1,1.243487788699e+00,1.114407136191e-01,3.102530576059e-02,4.934986219436e-02,1.809146957255e-02,2.877688094965e-02,7.086772878309e-03,1.127245183806e-02,5.628906530699e-03,8.953522126052e-03,1.665334536938e-16,5.551115123126e-17,1.110223024625e-16,0.000000000000e+00,1.110223024625e-16,8.814110564243e-01,9.075104311544e-01,8.983442958860e-01,9.108635097493e-01
