model,partition,optimiser,driver,seed,shared,round,n_clients,disp_rms_coord,disp_mean_l2,disp_max_l2,disp_rel_to_weights,delta_rms,delta_disp_rel,weights_rms,min_pair_l2,krum_idx_flower,krum_idx_ref,krum_sel_agree,krum_score_best,krum_score_margin_rel,gap_krum,relgap_krum,gap_multikrum3,relgap_multikrum3,gap_median,relgap_median,gap_trimmed,relgap_trimmed,noise_fedavg,noise_krum,noise_multikrum3,noise_median,noise_trimmed,train_loss,train_acc,test_loss,test_acc
mlp,iid,sgd,fedavg,0,0.000000000000e+00,1,16,1.946872755634e-02,9.517842466791e-01,1.090033996126e+00,1.222648867344e-01,4.192719308371e-02,4.643460752898e-01,1.592340047607e-01,1.128084344336e+00,4,4,1,2.166017069602e+01,2.227426796005e-03,8.815090760150e-02,1.421720590035e-01,6.492336784784e-02,1.047100833731e-01,1.681650949891e-02,2.712210056327e-02,1.080739787287e-02,1.743045023429e-02,1.110223024625e-16,5.551115123126e-17,1.110223024625e-16,0.000000000000e+00,1.110223024625e-16,1.388527360377e+00,7.962447844228e-01,1.393765717039e+00,7.855153203343e-01
mlp,iid,sgd,fedavg,0,0.000000000000e+00,2,16,1.648265403386e-02,8.052967478741e-01,9.449239855932e-01,9.458100236684e-02,3.191738075925e-02,5.164162485068e-01,1.742702405492e-01,9.477402644020e-01,4,4,1,1.468924205713e+01,2.638692878689e-02,5.894201187700e-02,7.905294512427e-02,4.011002592735e-02,5.379551151367e-02,1.564048087986e-02,2.097699140797e-02,1.073605056852e-02,1.439917623131e-02,1.665334536938e-16,1.110223024625e-16,2.220446049250e-16,0.000000000000e+00,1.110223024625e-16,8.309763294131e-01,8.741307371349e-01,8.452722363909e-01,8.802228412256e-01
mlp,iid,sgd,fedavg,0,0.000000000000e+00,3,16,1.474402030898e-02,7.202372362264e-01,8.835457719205e-01,7.861761394179e-02,2.190563725294e-02,6.730696824170e-01,1.875409284222e-01,8.616704059279e-01,1,1,1,1.116099418422e+01,1.153351042029e-01,5.998623207028e-02,6.940316074785e-02,2.635825006537e-02,3.049609557365e-02,1.230685530352e-02,1.423884493912e-02,9.624601873934e-03,1.113551840042e-02,2.220446049250e-16,1.110223024625e-16,1.665334536938e-16,0.000000000000e+00,2.220446049250e-16,5.773361999174e-01,9.089012517385e-01,5.871784385857e-01,9.080779944290e-01
mlp,iid,sgd,fedavg,0,0.000000000000e+00,4,16,1.335429813315e-02,6.496799366946e-01,8.678221920298e-01,6.746183306639e-02,1.589105726104e-02,8.403656165714e-01,1.979533838045e-01,7.440826311429e-01,1,1,1,9.052453055683e+00,6.384289206611e-02,4.606759292366e-02,4.823240119710e-02,3.637337204687e-02,3.808262950407e-02,1.886381210967e-02,1.975026034653e-02,9.372172136940e-03,9.812589239170e-03,2.220446049250e-16,1.110223024625e-16,1.110223024625e-16,0.000000000000e+00,1.110223024625e-16,4.474646505086e-01,9.179415855355e-01,4.542976135801e-01,9.192200557103e-01
mlp,iid,sgd,fedavg,0,0.000000000000e+00,5,16,1.238283069955e-02,6.028526367908e-01,7.462400297301e-01,6.001984523692e-02,1.234786588602e-02,1.002831648307e+00,2.063122730602e-01,6.497794331189e-01,1,1,1,7.383978592249e+00,1.195699181533e-01,4.442081361808e-02,4.314604382063e-02,2.833831627985e-02,2.752507521644e-02,1.579958523224e-02,1.534617539064e-02,1.048440532310e-02,1.018352827557e-02,1.665334536938e-16,1.110223024625e-16,2.220446049250e-16,0.000000000000e+00,2.220446049250e-16,3.642674819974e-01,9.297635605007e-01,3.684249112922e-01,9.359331476323e-01
mlp,iid,sgd,fedavg,0,0.000000000000e+00,6,16,1.209115888212e-02,5.857925550257e-01,7.813946408386e-01,5.667197789361e-02,1.016679964911e-02,1.189278760222e+00,2.133533949499e-01,6.168736158831e-01,1,1,1,6.633981366119e+00,1.379903923168e-01,3.762882127004e-02,3.457642445443e-02,3.216169389461e-02,2.955278272718e-02,1.281400754553e-02,1.177455335837e-02,6.894789440625e-03,6.335493862859e-03,2.220446049250e-16,1.110223024625e-16,2.220446049250e-16,0.000000000000e+00,2.220446049250e-16,3.125968294859e-01,9.374130737135e-01,3.167470799344e-01,9.442896935933e-01
mlp,iid,sgd,fedavg,0,0.000000000000e+00,7,16,1.184782012835e-02,5.740444820504e-01,7.369800411384e-01,5.402110115416e-02,8.571261980800e-03,1.382272546900e+00,2.193183751389e-01,5.906966591759e-01,1,1,1,6.512695888664e+00,5.530911045955e-02,3.951762887235e-02,3.472940639237e-02,2.923654109624e-02,2.569404456220e-02,1.056847388762e-02,9.287926301856e-03,7.072917284563e-03,6.215914916066e-03,2.220446049250e-16,1.110223024625e-16,2.220446049250e-16,0.000000000000e+00,2.220446049250e-16,2.731101234133e-01,9.436717663421e-01,2.728917430664e-01,9.526462395543e-01
mlp,iid,sgd,fedavg,0,0.000000000000e+00,8,16,1.124962921598e-02,5.454050243142e-01,7.204510055805e-01,5.010515102234e-02,7.357055787600e-03,1.529093912125e+00,2.245204132997e-01,5.849797476111e-01,1,1,1,6.188940840860e+00,2.246781688097e-02,4.357107612119e-02,3.686716196933e-02,2.017797409224e-02,1.707335933137e-02,1.060527901286e-02,8.973534140163e-03,6.569928750756e-03,5.559069202409e-03,2.220446049250e-16,1.110223024625e-16,2.220446049250e-16,0.000000000000e+00,2.220446049250e-16,2.463183026336e-01,9.492350486787e-01,2.461093215708e-01,9.554317548747e-01
mlp,iid,sgd,fedavg,0,0.000000000000e+00,9,16,1.154697106369e-02,5.572268811995e-01,7.608139872423e-01,5.039867564412e-02,6.443339114384e-03,1.792078743445e+00,2.291125890932e-01,5.418630802211e-01,1,1,1,5.731714621694e+00,8.955162919521e-02,3.257196111670e-02,2.670921471362e-02,2.487572721048e-02,2.039825409473e-02,1.100225913183e-02,9.021922273393e-03,6.453429628995e-03,5.291853228687e-03,2.220446049250e-16,1.110223024625e-16,2.220446049250e-16,0.000000000000e+00,2.220446049250e-16,2.246986534278e-01,9.534075104312e-01,2.228164898435e-01,9.610027855153e-01
mlp,iid,sgd,fedavg,0,0.000000000000e+00,10,16,1.095203482232e-02,5.297766100202e-01,6.939469757864e-01,4.695009443336e-02,5.848529568884e-03,1.872613396808e+00,2.332697080698e-01,5.307868382562e-01,1,1,1,5.418565108780e+00,9.477048599452e-02,3.868151319145e-02,3.080682473674e-02,1.949756410519e-02,1.552829738612e-02,9.706949459736e-03,7.730832277797e-03,5.751074941314e-03,4.580285080577e-03,2.220446049250e-16,1.110223024625e-16,2.220446049250e-16,0.000000000000e+00,2.220446049250e-16,2.058313381293e-01,9.554937413074e-01,2.051067743777e-01,9.637883008357e-01
