model,partition,optimiser,driver,seed,shared,round,n_clients,disp_rms_coord,disp_mean_l2,disp_max_l2,disp_rel_to_weights,delta_rms,delta_disp_rel,weights_rms,min_pair_l2,krum_idx_flower,krum_idx_ref,krum_sel_agree,krum_score_best,krum_score_margin_rel,gap_krum,relgap_krum,gap_multikrum3,relgap_multikrum3,gap_median,relgap_median,gap_trimmed,relgap_trimmed,noise_fedavg,noise_krum,noise_multikrum3,noise_median,noise_trimmed,train_loss,train_acc,test_loss,test_acc
logreg,iid,sgd,fedavg,0,0.000000000000e+00,1,16,3.196543581713e-02,8.092965615973e-01,9.526991141767e-01,4.575556505908e-01,6.920328773121e-02,4.619063178224e-01,6.986130709095e-02,9.369388896490e-01,13,13,1,1.483923534443e+01,1.334975339658e-02,1.004412691334e-01,3.931048002616e-01,6.232991272588e-02,2.439454230700e-01,2.124309004533e-02,8.314073230315e-02,1.428121855370e-02,5.589351484189e-02,5.551115123126e-17,2.775557561563e-17,5.551115123126e-17,0.000000000000e+00,1.110223024625e-16,1.604427381753e+00,8.657858136300e-01,1.622234497675e+00,8.412256267409e-01
logreg,iid,sgd,fedavg,0,0.000000000000e+00,2,16,2.740547682859e-02,6.934646558506e-01,8.631128194519e-01,2.231663020673e-01,5.346728291369e-02,5.125653546455e-01,1.228029347384e-01,7.904592517317e-01,1,1,1,1.092278622846e+01,1.081663839150e-02,1.156155048912e-01,2.565117002760e-01,5.686338235862e-02,1.261606123330e-01,2.278219457920e-02,5.054598406184e-02,1.466533335300e-02,3.253741439814e-02,1.110223024625e-16,5.551115123126e-17,5.551115123126e-17,0.000000000000e+00,1.110223024625e-16,1.189566971955e+00,8.949930458971e-01,1.209239990686e+00,8.969359331476e-01
logreg,iid,sgd,fedavg,0,0.000000000000e+00,3,16,2.439135974048e-02,6.177935229756e-01,7.458024713796e-01,1.488610096656e-01,4.142307477724e-02,5.888350845911e-01,1.638532466982e-01,7.309836551395e-01,1,1,1,8.285181656765e+00,6.753764452234e-02,9.842046661697e-02,1.663128624566e-01,5.122468951203e-02,8.656049939644e-02,1.879281102296e-02,3.175646592896e-02,1.417042505783e-02,2.394546616779e-02,1.665334536938e-16,5.551115123126e-17,1.110223024625e-16,0.000000000000e+00,1.110223024625e-16,9.419554888722e-01,9.095966620306e-01,9.584830174539e-01,9.136490250696e-01
logreg,iid,sgd,fedavg,0,0.000000000000e+00,4,16,2.212719386792e-02,5.593994818167e-01,7.422160740943e-01,1.127016395688e-01,3.290766252336e-02,6.724024792772e-01,1.963342676520e-01,6.308642419548e-01,1,1,1,6.819405502161e+00,2.206802822854e-02,9.250101328825e-02,1.327208402397e-01,4.500858923738e-02,6.457851183720e-02,2.445918322762e-02,3.509413826020e-02,1.275372676020e-02,1.829910042743e-02,2.220446049250e-16,5.551115123126e-17,1.110223024625e-16,0.000000000000e+00,2.220446049250e-16,7.868132843049e-01,9.095966620306e-01,8.022271308446e-01,9.108635097493e-01
logreg,iid,sgd,fedavg,0,0.000000000000e+00,5,16,2.019165338776e-02,5.106027479135e-01,6.509746184911e-01,9.056930597879e-02,2.707793653954e-02,7.456865613920e-01,2.229414609017e-01,5.897031240445e-01,1,1,1,5.442888783364e+00,9.701628993667e-02,6.898969061476e-02,8.833351531896e-02,3.460248834563e-02,4.430458242552e-02,1.997725552807e-02,2.557862184183e-02,1.087226345940e-02,1.392070673582e-02,2.220446049250e-16,1.110223024625e-16,1.665334536938e-16,0.000000000000e+00,1.665334536938e-16,6.806003089782e-01,9.158553546592e-01,6.948861513984e-01,9.220055710306e-01
logreg,iid,sgd,fedavg,0,0.000000000000e+00,6,16,1.933340146046e-02,4.880720278073e-01,6.402226294427e-01,7.876399273250e-02,2.299907223621e-02,8.406165806123e-01,2.454598959466e-01,5.377431210391e-01,1,1,1,4.768241811671e+00,1.223098964194e-01,6.137767797260e-02,7.201094644224e-02,3.581468709996e-02,4.201933992602e-02,1.640098781221e-02,1.924234826009e-02,1.031401159232e-02,1.210084449123e-02,2.220446049250e-16,1.110223024625e-16,1.665334536938e-16,0.000000000000e+00,2.220446049250e-16,6.048995608597e-01,9.207232267038e-01,6.180260700220e-01,9.247910863510e-01
logreg,iid,sgd,fedavg,0,0.000000000000e+00,7,16,1.847774019111e-02,4.672373725615e-01,5.788358082959e-01,6.978160998538e-02,1.983654271050e-02,9.315000330844e-01,2.647938360118e-01,5.260933806226e-01,1,1,1,4.473876423641e+00,9.389826208003e-02,5.841063723718e-02,6.375665571934e-02,3.272151165660e-02,3.571633955705e-02,1.448651051378e-02,1.581238464582e-02,8.811681638228e-03,9.618168523582e-03,1.665334536938e-16,1.110223024625e-16,2.220446049250e-16,0.000000000000e+00,2.220446049250e-16,5.481527368572e-01,9.290681502086e-01,5.586041376939e-01,9.303621169916e-01
logreg,iid,sgd,fedavg,0,0.000000000000e+00,8,16,1.778669661406e-02,4.499264804755e-01,5.740538500833e-01,6.311431258541e-02,1.750621342069e-02,1.016021922425e+00,2.818171645297e-01,5.252678861460e-01,1,1,1,4.347308574327e+00,7.360394712121e-02,6.334978446445e-02,6.521063250555e-02,3.379024834546e-02,3.478280921956e-02,1.508161712699e-02,1.552462727966e-02,7.967759108427e-03,8.201805507388e-03,2.220446049250e-16,1.110223024625e-16,2.220446049250e-16,0.000000000000e+00,1.110223024625e-16,5.044558733806e-01,9.262865090403e-01,5.142166375610e-01,9.303621169916e-01
logreg,iid,sgd,fedavg,0,0.000000000000e+00,9,16,1.760663885543e-02,4.436930325366e-01,5.810732786443e-01,5.929284664697e-02,1.562190929942e-02,1.127047822258e+00,2.969437267916e-01,4.601191565807e-01,1,1,1,3.775821653640e+00,1.455219941363e-01,4.879436865266e-02,4.780484126274e-02,3.028653984563e-02,2.967234272513e-02,1.480518159384e-02,1.450493930965e-02,8.040538635411e-03,7.877480204096e-03,2.220446049250e-16,1.110223024625e-16,2.220446049250e-16,0.000000000000e+00,2.220446049250e-16,4.691197160769e-01,9.304589707928e-01,4.775244377577e-01,9.359331476323e-01
logreg,iid,sgd,fedavg,0,0.000000000000e+00,10,16,1.718036552255e-02,4.334501659660e-01,5.716612188495e-01,5.531023252269e-02,1.418359808565e-02,1.211284006978e+00,3.106182118381e-01,4.798734117967e-01,1,1,1,3.723131041388e+00,1.277171172594e-01,5.510809054013e-02,5.144014943563e-02,3.255845519827e-02,3.039139597066e-02,1.577482135154e-02,1.472486452879e-02,8.023098060855e-03,7.489088428614e-03,4.440892098501e-16,1.110223024625e-16,2.220446049250e-16,0.000000000000e+00,2.220446049250e-16,4.399899480939e-01,9.318497913769e-01,4.468154621399e-01,9.359331476323e-01
