lr,warm_round,disp_rms_coord,disp_mean_l2,disp_max_l2,disp_rel_to_weights,delta_rms,delta_disp_rel,weights_rms,min_pair_l2,gap_krum,gap_multikrum3,gap_median,gap_trimmed,noise_fedavg,noise_krum,noise_multikrum3,noise_median,noise_trimmed,step_rms
5.000000000000e-01,200,5.199152061735e-03,1.282109806480e-01,2.021165361299e-01,8.839027869379e-03,9.325376578139e-04,5.575273039293e+00,5.882040580217e-01,9.898816854593e-02,1.564470621350e-02,7.394372417784e-03,4.370349116185e-03,2.798177610313e-03,4.440892098501e-16,2.220446049250e-16,2.220446049250e-16,0.000000000000e+00,4.440892098501e-16,9.324287408527e-04
5.000000000000e-02,200,5.878014224039e-04,1.438774226657e-02,2.456375437890e-02,1.000609387031e-03,9.469841477621e-05,6.207088300190e+00,5.874434419891e-01,1.049672235985e-02,1.759752157850e-03,8.941858778476e-04,4.457543387253e-04,3.302509870655e-04,6.661338147751e-16,2.220446049250e-16,4.440892098501e-16,0.000000000000e+00,4.440892098501e-16,9.471229303690e-05
5.000000000000e-03,200,5.954665910031e-05,1.456222792787e-03,2.507122782812e-03,1.013790237332e-04,9.490255037797e-06,6.274505675891e+00,5.873666652881e-01,1.056287589116e-03,1.780768115591e-04,9.068695443371e-05,4.538465610038e-05,3.361867145170e-05,6.661338147751e-16,2.220446049250e-16,4.440892098501e-16,0.000000000000e+00,4.440892098501e-16,9.491947665141e-06
5.000000000000e-04,200,5.962423974792e-06,1.457986189994e-04,2.512274023451e-04,1.015124345017e-05,9.492363095197e-07,6.281285192102e+00,5.873589776526e-01,1.056956129391e-04,1.782884512280e-05,9.081448237969e-06,4.546613183720e-06,3.367865315823e-06,4.440892098501e-16,2.220446049250e-16,4.440892098501e-16,0.000000000000e+00,8.881784197001e-16,9.494086732067e-07
5.000000000000e-05,200,5.963200715861e-07,1.458162715906e-05,2.512789917238e-05,1.015257917002e-06,9.492574574842e-08,6.281963516689e+00,5.873582087861e-01,1.057023054172e-05,1.783096299779e-06,9.082724204967e-07,4.547428498203e-07,3.368465759171e-07,4.440892098501e-16,2.220446049250e-16,4.440892098501e-16,0.000000000000e+00,4.440892098501e-16,9.494301316979e-08
5.000000000000e-06,200,5.963278399279e-08,1.458180370362e-06,2.512841514366e-06,1.015271275807e-07,9.492595729150e-09,6.282031353097e+00,5.873581318984e-01,1.057029747310e-06,1.783117479781e-07,9.082851815112e-08,4.547510057407e-08,3.368525811065e-08,4.440892098501e-16,2.220446049250e-16,4.440892098501e-16,0.000000000000e+00,4.440892098501e-16,9.494322775552e-09
5.000000000000e-07,200,5.963286168659e-09,1.458182136086e-07,2.512846674240e-07,1.015272611864e-08,9.492597837053e-10,6.282038142796e+00,5.873581242097e-01,1.057030415700e-07,2.784998576200e-08,1.307380410875e-08,4.547518361875e-09,3.368531814596e-09,4.440892098501e-16,3.225524736195e-08,1.583493680624e-08,0.000000000000e+00,4.440892098501e-16,9.494324849486e-10
5.000000000000e-08,200,5.963286930675e-10,1.458182308483e-08,2.512847181929e-08,1.015272742929e-09,9.492598258121e-11,6.282038666888e+00,5.873581234408e-01,1.057030512043e-08,5.354562924997e-09,2.164796730764e-09,4.547515697340e-10,3.368532466852e-10,4.440892098501e-16,5.499145458443e-09,1.519964820673e-09,0.000000000000e+00,4.440892098501e-16,9.494325196390e-11
5.000000000000e-09,200,5.963286915573e-11,1.458182304738e-09,2.512847414370e-09,1.015272740491e-10,9.492596030725e-12,6.282040125027e+00,5.873581233639e-01,1.057030425942e-09,2.981730973239e-10,1.791831127917e-10,4.547517917786e-11,3.368532536241e-11,4.440892098501e-16,3.577039775493e-10,2.436663093519e-10,0.000000000000e+00,4.440892098501e-16,9.494317216179e-12
5.000000000000e-10,200,5.963286339391e-12,1.458182102530e-10,2.512847811095e-10,1.015272642407e-11,9.492579005766e-13,6.282050784454e+00,5.873581233562e-01,1.057028755492e-10,1.806743643584e-11,9.661382804893e-12,4.547473508865e-12,3.368541556803e-12,4.440892098501e-16,2.000100085553e-11,1.252942194441e-11,0.000000000000e+00,2.220446049250e-16,9.494211794317e-13
