arm,model,partition,optimiser,driver,rule,rounds,seeds,gap_r1,gap_r10,gap_r50,gap_rlate,decay_r1_to_late,gap_min,gap_min_round,gap_min_seed,noise_floor,orders_above_floor,disp_r1,disp_rlate,disp_decay,spearman_gap_disp,loglog_slope,spearman_gap_round,relgap_r1,relgap_rlate,test_acc_r1,test_acc_rlate,krum_sel_agree_frac,krum_margin_min
primary,logreg,dir0.1,fullbatch,fedavg,krum,300,3,2.250219e-01,1.207834e-01,6.094761e-02,2.852650e-02,7.888,2.589683e-02,300,2,8.881784e-16,13.46,5.219228e-02,1.462623e-02,3.568,0.994,1.404,-0.954,3.198833e+00,1.243802e-02,0.5794,0.9721,1.0000,3.014e-05
primary,logreg,dir0.1,fullbatch,fedavg,multikrum3,300,3,1.265689e-01,8.080955e-02,4.806208e-02,1.894878e-02,6.680,1.695783e-02,300,0,8.881784e-16,13.28,5.219228e-02,1.462623e-02,3.568,0.793,1.472,-0.866,1.591766e+00,8.071240e-03,0.5794,0.9721,1.0000,3.014e-05
primary,logreg,dir0.1,fullbatch,fedavg,median,300,3,7.227901e-02,5.112467e-02,2.991208e-02,1.688656e-02,4.280,1.316204e-02,187,2,8.881784e-16,13.17,5.219228e-02,1.462623e-02,3.568,0.942,1.199,-0.835,1.005157e+00,7.362818e-03,0.5794,0.9721,1.0000,3.014e-05
primary,logreg,dir0.1,fullbatch,fedavg,trimmed,300,3,5.427151e-02,4.462903e-02,2.677547e-02,1.558621e-02,3.482,1.286032e-02,300,2,8.881784e-16,13.16,5.219228e-02,1.462623e-02,3.568,0.977,1.098,-0.897,8.065995e-01,6.835264e-03,0.5794,0.9721,1.0000,3.014e-05
primary,logreg,dir0.1,sgd,fedavg,krum,300,3,2.430691e-01,1.249427e-01,7.573853e-02,4.212998e-02,5.770,2.703959e-02,298,2,1.332268e-15,13.31,7.991895e-02,2.176256e-02,3.672,0.833,1.589,-0.711,1.409938e+00,1.453121e-02,0.5961,0.9721,1.0000,8.472e-04
primary,logreg,dir0.1,sgd,fedavg,multikrum3,300,3,2.271258e-01,1.118863e-01,5.227979e-02,3.023235e-02,7.513,2.060425e-02,291,2,1.332268e-15,13.19,7.991895e-02,2.176256e-02,3.672,0.689,1.613,-0.691,1.308873e+00,9.312188e-03,0.5961,0.9721,1.0000,8.472e-04
primary,logreg,dir0.1,sgd,fedavg,median,300,3,1.693018e-01,6.395959e-02,3.134855e-02,2.068620e-02,8.184,1.838992e-02,299,2,1.332268e-15,13.14,7.991895e-02,2.176256e-02,3.672,0.885,1.345,-0.838,9.648223e-01,6.966456e-03,0.5961,0.9721,1.0000,8.472e-04
primary,logreg,dir0.1,sgd,fedavg,trimmed,300,3,1.445249e-01,5.268422e-02,3.102784e-02,2.010522e-02,7.188,1.745147e-02,265,1,1.332268e-15,13.12,7.991895e-02,2.176256e-02,3.672,0.882,1.306,-0.878,7.910502e-01,6.539871e-03,0.5961,0.9721,1.0000,8.472e-04
primary,logreg,dir0.5,fullbatch,fedavg,krum,300,3,1.582445e-01,7.893223e-02,3.698453e-02,2.617368e-02,6.046,1.874216e-02,300,1,1.332268e-15,13.15,3.755903e-02,9.029193e-03,4.160,0.699,0.970,-0.687,1.628170e+00,1.109830e-02,0.7799,0.9721,1.0000,7.953e-06
primary,logreg,dir0.5,fullbatch,fedavg,multikrum3,300,3,8.381118e-02,4.959565e-02,2.601962e-02,1.296603e-02,6.464,1.223431e-02,300,1,1.332268e-15,12.96,3.755903e-02,9.029193e-03,4.160,0.860,1.338,-0.836,9.842311e-01,5.497927e-03,0.7799,0.9721,1.0000,7.953e-06
primary,logreg,dir0.5,fullbatch,fedavg,median,300,3,5.888280e-02,3.520626e-02,2.054961e-02,1.018047e-02,5.784,9.675658e-03,300,0,1.332268e-15,12.86,3.755903e-02,9.029193e-03,4.160,0.727,0.900,-0.703,6.079098e-01,4.244166e-03,0.7799,0.9721,1.0000,7.953e-06
primary,logreg,dir0.5,fullbatch,fedavg,trimmed,300,3,3.666208e-02,2.113617e-02,1.300683e-02,7.772091e-03,4.717,6.700416e-03,300,1,1.332268e-15,12.70,3.755903e-02,9.029193e-03,4.160,0.917,0.989,-0.894,3.772144e-01,3.295564e-03,0.7799,0.9721,1.0000,7.953e-06
primary,logreg,dir0.5,sgd,fedavg,krum,300,3,2.053757e-01,8.453517e-02,5.629389e-02,2.773742e-02,7.404,1.824046e-02,295,0,1.332268e-15,13.14,7.138560e-02,1.557135e-02,4.584,0.712,1.105,-0.704,8.451961e-01,8.209219e-03,0.8273,0.9749,1.0000,7.769e-05
primary,logreg,dir0.5,sgd,fedavg,multikrum3,300,3,1.381669e-01,8.424582e-02,5.291346e-02,2.553157e-02,5.412,1.543148e-02,240,0,1.332268e-15,13.06,7.138560e-02,1.557135e-02,4.584,0.691,1.250,-0.834,5.437727e-01,8.011405e-03,0.8273,0.9749,1.0000,7.769e-05
primary,logreg,dir0.5,sgd,fedavg,median,300,3,1.051842e-01,4.405333e-02,2.515629e-02,1.703702e-02,6.174,1.249833e-02,299,0,1.332268e-15,12.97,7.138560e-02,1.557135e-02,4.584,0.775,1.169,-0.696,4.382732e-01,5.042308e-03,0.8273,0.9749,1.0000,7.769e-05
primary,logreg,dir0.5,sgd,fedavg,trimmed,300,3,8.989369e-02,3.502429e-02,1.871781e-02,1.275588e-02,7.047,9.497462e-03,278,1,1.332268e-15,12.85,7.138560e-02,1.557135e-02,4.584,0.762,1.227,-0.693,3.492967e-01,4.002593e-03,0.8273,0.9749,1.0000,7.769e-05
primary,logreg,iid,fullbatch,fedavg,krum,300,3,5.058434e-02,3.102531e-02,2.095653e-02,1.097371e-02,4.610,8.396695e-03,300,2,1.332268e-15,12.80,1.550865e-02,4.806261e-03,3.227,0.816,1.465,-0.827,4.829642e-01,4.399754e-03,0.8858,0.9721,1.0000,3.267e-05
