sigma,rule,trials,median,p05,minimum,frac_below_1e_3
1.0,krum,400,1.450416e+00,1.082542e+00,7.461820e-01,0.0000
1.0,multikrum3,400,9.034318e-01,6.013254e-01,3.909854e-01,0.0000
1.0,median,400,5.246466e-01,3.551784e-01,2.204480e-01,0.0000
1.0,trimmed,400,2.315500e-01,1.453843e-01,8.968485e-02,0.0000
0.3,krum,400,4.488582e-01,3.219558e-01,2.271532e-01,0.0000
0.3,multikrum3,400,2.605253e-01,1.745956e-01,1.060150e-01,0.0000
0.3,median,400,1.631183e-01,1.077783e-01,8.125329e-02,0.0000
0.3,trimmed,400,7.028104e-02,4.334336e-02,3.092017e-02,0.0000
0.1,krum,400,1.476233e-01,1.076133e-01,7.590609e-02,0.0000
0.1,multikrum3,400,9.090966e-02,5.968423e-02,4.162165e-02,0.0000
0.1,median,400,5.333517e-02,3.626353e-02,2.203187e-02,0.0000
0.1,trimmed,400,2.284880e-02,1.481572e-02,9.276685e-03,0.0000
0.03,krum,400,4.455435e-02,3.219980e-02,2.489010e-02,0.0000
0.03,multikrum3,400,2.729223e-02,1.794270e-02,1.307569e-02,0.0000
0.03,median,400,1.600551e-02,1.085516e-02,7.964827e-03,0.0000
0.03,trimmed,400,7.061942e-03,4.649734e-03,3.088154e-03,0.0000
0.01,krum,400,1.470035e-02,1.038930e-02,8.252260e-03,0.0000
0.01,multikrum3,400,8.854867e-03,6.073569e-03,4.125681e-03,0.0000
0.01,median,400,5.266336e-03,3.459668e-03,2.226715e-03,0.0000
0.01,trimmed,400,2.357023e-03,1.460514e-03,9.381110e-04,0.0050
